EventCount, EventType, OldIDs, NewID, Time, NewVol, X, Y, Z, U, V, W, L1, L2, L3
108, Split,46,88, 1.35390E+01,4.8242136516356103E-04,  8.085251188890E+00, -1.012564691980E+00, -1.080198690470E+00,  8.021416071474E-02,  7.961928796183E-02,  1.211102155562E-01,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
109, Split,70,89, 1.35390E+01,2.4050114639186272E-15,  9.445312500000E+00, -1.382812500000E+00, -5.859375000000E-01, -3.441500936341E-02,  2.745950145173E-02,  1.735004313583E-01,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
110, Split,70,90, 1.35390E+01,9.9183821933922010E-09,  9.492187500000E+00, -1.429687500000E+00, -5.859375000000E-01, -1.388107316583E-01, -1.489370762312E-02,  1.801295887936E-01,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
111, Split,1,91, 1.35390E+01,2.1988858875868504E-04,  9.902520180525E+00, -1.277199851040E+00, -1.544177611508E-01,  9.379594187537E-01, -2.145421379689E-01,  2.487359313737E-01,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
112, Merge,1;91;,1, 1.36160E+01,1.0643157559454799E+01
113, Split,82,92, 1.36160E+01,3.7314317118269263E-04,  1.015653237867E+01, -1.105622425925E+00, -8.825790229779E-01,  4.989506709662E-01,  4.806126290791E-02,  3.541669920252E-02,  1.889765725507E+03,  4.349444697911E+02,  1.518199380597E+02
114, Split,82,93, 1.36160E+01,6.7576680405974747E-03,  1.041729276724E+01, -9.573603899913E-01, -1.056480824056E+00,  5.784810596583E-01, -3.155120060186E-02, -2.239694725038E-02,  4.599248616624E+02,  9.984799329087E+01,  3.564817637363E+01
115, Split,1,94, 1.36160E+01,2.1988928116221395E-04,  9.976655946236E+00, -1.296440314636E+00, -1.326298733531E-01,  9.215228023083E-01, -2.274670578868E-01,  2.748948704744E-01,  2.396989350648E+03,  5.379188294825E+02,  2.002218107509E+02
116, Merge,1;67;59;,1, 1.36354E+01,1.0659196837277122E+01
117, Merge,1;59;,1, 1.36354E+01,1.0659196837277122E+01
118, Merge,92;93;,95, 1.36549E+01,7.1308112149833470E-03
119, Split,88,96, 1.36745E+01,1.4482809031782497E-10,  8.132812500000E+00, -8.203125000000E-01, -1.054687500000E+00,  1.807040321434E-01,  1.633290388229E-01,  1.608442434666E-01,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
120, Split,88,97, 1.36745E+01,4.8242121991440030E-04,  8.100781913350E+00, -1.000330985316E+00, -1.061282711062E+00,  8.687364112158E-02,  7.965882198433E-02,  1.237688978570E-01,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
121, Split,1,98, 1.36745E+01,3.2422600665179462E-04,  1.048363788172E+01,  9.207750895902E-01,  3.185769974634E-01,  8.700817419938E-01,  3.900317222285E-02,  6.651363920291E-02,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
122, Merge,87;96;,99, 1.36944E+01,1.6853909310928636E-04
123, Split,95,100, 1.36944E+01,3.7292307812670128E-04,  1.019731751294E+01, -1.100137375218E+00, -8.802554205880E-01,  5.124584741428E-01,  4.599552104284E-02,  3.846756582886E-02,  3.116015914644E+00,  3.021083333693E-02,  2.611468439984E-02
124, Split,95,101, 1.36944E+01,6.7578881345534761E-03,  1.046365781975E+01, -9.598747200302E-01, -1.058276759654E+00,  5.794245811570E-01, -3.176918819754E-02, -2.146248292841E-02,  8.155798672242E-01,  7.027575594414E-03,  6.157989679009E-03
